# Simulation 2 (Up to date)
# 735 data points written for 4 variables.
# Simulation warnings:
#   No recovery device defined in the simulation.
#
# Altitude (ft),Vertical velocity (m/s),Drag coefficient (​),Reference area (cm²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
735.762,-19.618,0.46,34.253
734.501,-19.655,0.46,34.253
732.949,-19.69,0.46,34.253
730.634,-19.717,0.46,34.253
727.582,-19.703,0.46,34.253
724.471,-19.635,0.46,34.253
722.768,-19.578,0.46,34.253
721.375,-19.521,0.46,34.253
720.137,-19.465,0.46,34.253
719.005,-19.408,0.46,34.253
717.943,-19.352,0.46,34.253
716.929,-19.295,0.46,34.253
715.928,-19.238,0.46,34.253
714.931,-19.18,0.46,34.253
713.929,-19.12,0.46,34.253
712.937,-19.061,0.46,34.253
711.95,-19.002,0.46,34.253
710.96,-18.943,0.46,34.253
709.95,-18.883,0.46,34.253
708.906,-18.823,0.46,34.253
707.815,-18.763,0.46,34.253
706.664,-18.702,0.46,34.253
705.427,-18.64,0.46,34.253
704.054,-18.577,0.46,34.253
702.339,-18.508,0.46,34.253
699.776,-18.427,0.46,34.253
696.759,-18.361,0.46,34.253
693.75,-18.326,0.46,34.253
691.391,-18.315,0.46,34.253
689.904,-18.315,0.46,34.253
688.645,-18.317,0.46,34.253
687.443,-18.32,0.46,34.253
686.272,-18.324,0.46,34.253
685.137,-18.326,0.46,34.253
684.015,-18.328,0.46,34.253
682.888,-18.329,0.46,34.253
681.741,-18.328,0.46,34.253
680.551,-18.324,0.46,34.253
679.256,-18.315,0.46,34.253
677.77,-18.298,0.46,34.253
675.977,-18.269,0.46,34.253
673.659,-18.214,0.46,34.253
670.679,-18.113,0.46,34.253
667.718,-17.977,0.46,34.253
664.782,-17.81,0.46,34.253
662.609,-17.669,0.46,34.253
660.88,-17.548,0.46,34.253
659.327,-17.435,0.46,34.253
657.877,-17.327,0.46,34.253
656.479,-17.221,0.46,34.253
655.092,-17.117,0.46,34.253
653.684,-17.013,0.46,34.253
652.229,-16.907,0.46,34.253
650.68,-16.799,0.46,34.253
648.921,-16.683,0.46,34.253
646.727,-16.55,0.46,34.253
644.024,-16.406,0.46,34.253
641.343,-16.286,0.46,34.253
638.68,-16.186,0.46,34.253
636.032,-16.104,0.46,34.253
633.702,-16.04,0.46,34.253
631.888,-15.993,0.46,34.253
630.184,-15.95,0.46,34.253
628.471,-15.904,0.46,34.253
626.662,-15.852,0.46,34.253
624.681,-15.789,0.46,34.253
622.257,-15.699,0.46,34.253
619.691,-15.586,0.46,34.253
617.145,-15.455,0.46,34.253
614.621,-15.308,0.46,34.253
612.123,-15.147,0.46,34.253
609.778,-14.987,0.46,34.253
607.895,-14.855,0.46,34.253
606.231,-14.738,0.46,34.253
604.443,-14.614,0.46,34.253
602.558,-14.488,0.46,34.253
600.609,-14.366,0.46,34.253
598.371,-14.238,0.46,34.253
596.045,-14.122,0.46,34.253
593.736,-14.024,0.46,34.253
591.443,-13.944,0.46,34.253
589.161,-13.88,0.46,34.253
586.888,-13.827,0.46,34.253
584.979,-13.789,0.46,34.253
583.078,-13.753,0.46,34.253
581.182,-13.717,0.46,34.253
579.158,-13.675,0.46,34.253
576.919,-13.62,0.46,34.253
574.69,-13.554,0.46,34.253
572.472,-13.477,0.46,34.253
570.269,-13.388,0.46,34.253
568.081,-13.287,0.46,34.253
565.91,-13.177,0.46,34.253
563.758,-13.062,0.46,34.253
561.625,-12.946,0.459,34.253
559.652,-12.84,0.459,34.253
557.667,-12.738,0.459,34.253
555.586,-12.638,0.459,34.253
553.52,-12.55,0.459,34.253
551.468,-12.475,0.459,34.253
549.427,-12.413,0.459,34.253
547.395,-12.365,0.459,34.253
545.369,-12.328,0.459,34.253
543.349,-12.3,0.459,34.253
541.334,-12.276,0.459,34.253
539.418,-12.256,0.459,34.253
537.409,-12.235,0.459,34.253
535.404,-12.21,0.459,34.253
533.404,-12.18,0.459,34.253
531.408,-12.143,0.459,34.253
529.42,-12.097,0.459,34.253
527.44,-12.043,0.459,34.253
525.469,-11.984,0.459,34.253
523.508,-11.921,0.459,34.253
521.558,-11.856,0.459,34.253
519.619,-11.793,0.459,34.253
517.689,-11.733,0.459,34.253
515.769,-11.677,0.459,34.253
513.857,-11.629,0.459,34.253
511.953,-11.588,0.459,34.253
